sentiment,text
neutral,"nope it is telling you that you want cameo creams"
negative,"awwww we re gonna miss you"
positive,"we quite like worthing its a relaxing place with nice coffee shops and fresh air and not too many oiks"
neutral,"terrible haha that was new the fact that he couldn t do it should have cost his part what kind of spock is that"
positive,"today was a lovely day i had fun with and this evening"
negative,"beto s pizzeria is on banksville rd in i believe the beachview area sorry to answer like years later"
negative,"sigh my sisters bein strange she came all the way from copenhagen to london and now her phones turned off i wanna see her dammit"
positive,"it was amazing"
neutral,"barbs trying to figure out y the dsl aint connecting i need my google going home to my computer if it don t start working soon smh"
negative,"i m sick and sad missing out on martini lounge tonight"
neutral,"seems really quiet tonight am jealous of those who are clearly having a more exciting life than me off to bed i think"
negative,"really wishes he had some spare cash to buy the new punch out for wii"
negative,"aw not going to toronto anymore"
negative,"so sorry to hear about your mom that really sucks"
positive,"i feel for you i hope it s a smooth flight be safe mucho amor from boston"
negative,"can t sleep so i m watching hgtv i m afraid infomercials are about to take over"
negative,"i m getting me my family ready for kaylee s graduation it s gonna make me so sad"
positive,"sweet dreams"
neutral,"hay wats ur aim we should chat"
neutral,"okay kool i might be touring all summer long but we can make it happen"
negative,"in pain my big toe got stomped on during the hokey cokeu it s throbbing anyone have any suggestions to heal it"
neutral,"time to watch op then some dead like me then sleep"
neutral,"having dinner with my grandma since i couldn t be with my mum"
positive,"haha thanks its for history and its on how the invention of television has influence america lol"
neutral,"yea so wassup"
negative,"stupid jobs idk what to do"
negative,"shopped til i dropped come bac sunshine i miss u"
positive,"like your pics lucky girl again"
neutral,"thank you i ve had anxiety issues for years so i think if i can make it through the first couple of days then i will be fine"
neutral,"around hours left until a day weekend and i have waaaay too much work to do"
positive,"feeling loved my mom got me a nikon cool pix for my birthday"
neutral,"there were attempts to somehow extend inner classes which would be close to can t find the ref atm"
neutral,"yes join us all we require is a cupcake donation"
negative,"i have such a hard time talking to new people i am pretty sure i didn t make a good impression"
negative,"rc haha yup but still have a terrible headache and super swollen and puffy eyes i dont think im going out today ugh"
neutral,"can t access your site"
positive,"and the sun is shinning at last"
negative,"we are on the slowest train ever it stops everywhere missed a quick train by a few minutes"
neutral,"nup no cd either just a whole bunch of zeros and ones you can have for free"
neutral,"my graduation day and i feel like a failure"
neutral,"ops that lol wasnt supposed to got to twitter"
negative,"i don t think i ve ever been so tierd in my life ugh goodnight so sleeping in tomorrow"
neutral,"what are u going to do today my girl"
negative,"why doesnt he want me anymore"
negative,"bad hair day"
negative,"headache"
negative,"sorry guys i didn t sign in for a while sorry every"
neutral,"i am just okay okay like the rest of the sane population in the world i hate mondays"
neutral,"mozart s requiem"
neutral,"i think i am a bit in love with his creations and wit but not that physically attracted to him although he has great style"
positive,"amichael hey thanks for another great day i m going to sleep now i ll chat with you tomorrow sweet dreams"
negative,"i bet its cool down in sr huh it s not here i haven t stopped sweating since noon when dad and i were packing"
neutral,"ohshnapsss is she pissed at blair as usual hahah yeeeah i bake cookies"
neutral,"no bueno hollykins needs to feel better asap p s i miss you you done with uni soon aren t you soproudofyou"
positive,"twitpic com vvr cool you and your mother have awesome hair styles wish her a happy mother s day"
positive,"happy mother s day mothers"
neutral,"my expression watching this again tinyurl com eqbwe"
negative,"stupid bipolar weather ruined my day off"
negative,"i didn t want to tell you but i think it s your body odour"
neutral,"nice beta for easports still no news on the online for madden"
negative,"thats pretty bad quality and probably the worst pic u posted till date"
negative,"i missed your calls"
negative,"unfortunately for us it looks like there are no funny people on twitter should we move to fb or start our own flitter"
positive,"just came back from karaoke eating dinner with emily it was sooooo much fun"
positive,"discrimination is not a bad thing i ve learned to say no my children would say i mastered that years ago"
neutral,"sure i can talk the fabulous part though is out sorry dear"
negative,"did you see the sec clip of the new moon trailer its up on etonline com check it out its a big tease though"
positive,"just got back from working out i m feeling pretty good work at"
neutral,"ahhh my satz blend didn t save"
positive,"so why should that matter i bet you would be great at it i do it s what you love right why not go for it"
positive,"dh is just about finished making his giant trio candy bar thank the heavens his work mates are in for a treat tomorrow"
neutral,"my ear are popping"
negative,"working on diffusing that irritation but this traffic sure isn t helping mother f it s always real bad the days th i help plan stuff"
negative,"i submitted my resume the same day and saw no answer back oh well"
neutral,"catching up on weeks of lost and grey s house is quiet again"
positive,"i love when ryans a housewife makes me smile"
negative,"sooo i m kinda o sick n tired of the bs that guys dish out"
negative,"boo i was hoping for a fake alien story with a tinfoil covered beachball photo"
neutral,"hey phillll wazzuppppp"
negative,"missed out on westcott micro apollo too"
positive,"great you can buy me lunch when i get my pay cut next month"
